date,NO2_column_number_density,cloud_fraction,CO_column_number_density,SO2_column_number_density,absorbing_aerosol_index,dewpoint_temperature_2m,temperature_2m,u_component_of_wind_10m,v_component_of_wind_10m,boundary_layer_height
2020-02-19,0.0001215671250916142,0.10069639337977383,0.03887807710117495,0.0007825093285046515,-2.0065455765152995,275.2597592686065,277.2171075379368,0.3339142657055842,-1.7342749917480265,207.32878500864507
2020-02-25,7.843253569911263e-05,0.03813644986292041,0.03872325724526919,0.0005015714395411945,-1.309960236032452,271.7357704912717,276.9135657536047,4.208494039325748,0.7782102410644407,849.3681410537617
2020-02-27,7.269264688253766e-05,0.29798253012967585,0.03671306820979011,0.0004366907967218983,-1.0912497180890408,279.11281980988616,281.94908309479183,1.3770419729063916,5.579776131332385,581.8132250278494
2020-02-28,5.5584552471331475e-05,0.21891132086843704,0.03899988013017144,0.0007917377960187231,-1.7070280803830478,274.30686760570643,277.8895469978396,3.322618857642778,-0.5358605432067864,658.3909678807197
2020-02-29,0.00011736704902793508,0.2626536694398991,0.03969061235643894,0.0005916342042693013,-2.0347489403343646,271.6827933940787,276.7565450072737,-0.10021313288650152,-0.04941558224950963,219.86011279517322
2020-03-01,6.370277614002384e-05,0.01739538332139938,0.04178070930934249,0.0006054181287676294,-1.7613927955064501,271.19461667415106,275.9949931352097,-0.40167582827401344,3.6653782332903284,440.9849437659087
2020-03-03,6.883170319444312e-05,0.21893596809482646,0.039474767786192105,0.0005299626120423002,-1.3458767071837074,278.47672565843885,281.342697330606,-0.3626851669552633,3.7230767022107285,302.0797767840085
2020-03-04,6.829243188140373e-05,0.09109785969308692,0.03203389152089434,0.00043439089022657924,-1.6202573004589609,279.0213475367286,283.9448304426291,-0.7683541682659311,3.7187577816128647,250.0621089547806
2020-03-05,7.004802533963594e-05,0.07596468065909079,0.03701787158286854,0.0004925290865162908,-1.7286161909831728,277.37436114967335,285.0981107811776,-3.695659860262215,2.6055264063039343,402.7850180138674
2020-03-07,6.452939374998758e-05,0.2232819424484852,0.03669547148940264,0.000373584842130348,-1.2726922925356732,278.84319318001627,281.6364097944441,-0.32473605911564885,4.248515492756923,444.99415127974515
2020-03-08,5.630052729641826e-05,0.05388536785761185,0.04280799999833107,0.0002751397607291412,-1.2009493084165297,278.74427575732585,283.2415544300831,-0.8599356949583521,3.966578626710429,300.460956880614
2020-03-09,8.746272910743095e-05,0.13058745880253994,0.03507928175018946,0.0014609774072366361,-1.0131964730924288,279.3716145839074,285.67188442671306,-2.875911058206322,2.41699805832579,320.9065392166264
2020-03-10,8.593578039234232e-05,0.03071058997408171,0.035896519333508736,0.0007544367082777568,-1.403386655116971,279.7808893321898,285.1673166271676,-3.3437327716713536,1.7651708123078171,402.3908733887455
2020-03-12,6.803179353348168e-05,0.03280930381406369,0.03808921935424293,0.0014294388027875796,-1.3127155168870532,276.33220143075397,282.623813865476,4.1807592634512485,1.7893713933649538,775.5437028251977
2020-03-13,8.00485691422888e-05,0.11069438389373874,0.03676141692075686,0.0004614868671605298,-1.4930994455152422,277.8029464604952,283.8175388548588,2.8301611671120064,3.0769167089928717,395.64124839444014
2020-03-14,6.204668895938143e-05,0.2971627928836236,0.03831531312127152,0.00023009046054584824,-1.237055125411681,273.19626233713484,280.39979137978463,3.4419891423439974,-2.6999716815537074,1048.7972458035001
2020-03-17,0.00010596536727029562,0.19431106993700611,0.03921394862817938,0.0008302867023156078,-2.1871159799118587,269.1588702836909,275.2359181923887,0.2812690514802993,2.4476769286228177,380.86970250206485
2020-03-18,0.00012207343070635824,0.048562389259450146,0.04063731043251046,0.0009977278202007922,-1.5727589410533722,270.2965559542015,276.6734921666116,-1.4704448851182823,-2.1472224734736653,450.42312227109943
2020-03-19,0.00011143959658937756,0.037348780242497166,0.04195014787575412,0.0011702093131591043,-1.4708787669595287,271.1599520890672,278.14487582279213,0.7451763040654068,0.29091669268138076,279.6129846623108
2020-03-20,7.538071293632952e-05,0.11412480819494447,0.039875881690868774,0.00011439523658436471,-1.6814859079349425,274.1274529498474,280.4010700420058,0.8919606473112814,-2.741449219438407,411.3539933892819
2020-03-21,8.307496073685065e-05,0.27843846388619997,0.042567697070835624,0.0001121950178434587,-2.1672524120498364,274.6900421579828,280.60449855968056,-0.11152163788523027,0.9765220874528525,352.0638664251346
2020-03-23,6.561226945363423e-05,0.15965285826654768,0.0427304822539928,0.0004320054206153771,-1.3070596371077168,266.7520733726392,273.93775503552297,-3.2480175179409034,-5.8579492768997365,961.9388193054432
2020-03-24,6.876810419486743e-05,0.04708597498346137,0.04263836260087267,0.0008956568303665081,-1.3673892510922419,264.6795619139852,273.952590448204,-4.205418114318924,-5.374027050435469,1088.763747560431
2020-03-26,8.298897227612963e-05,0.043098390037818915,0.03901583646900173,0.0008434555131720832,-1.5720106529992366,270.67871964471163,279.3594041646858,-4.258099215114988,-3.6416105778258583,549.7110484103855
2020-03-27,9.840458748812981e-05,0.08128612828215959,0.04160134807941615,0.0008127036586292393,-1.9203041697128336,272.7182218524367,282.87313990979254,-5.131382979275084,-2.782356472699482,680.1510427688818
2020-03-28,7.077189216593877e-05,0.18264377968360185,0.03782879141534004,0.0007459913060351649,-0.7809289874123334,271.58373250308307,284.0370866403802,-4.5579551130361295,-0.39581225508581525,594.2330866943543
2020-03-31,7.235713828593428e-05,0.12938637355331617,0.0472995672847088,0.00013269321397654094,-1.7278505444982928,269.68929643154985,277.235118072793,2.8277596343810445,-4.477296048189005,930.5643919520669
2020-04-01,9.375967513042244e-05,0.005460867926355442,0.03653828498368779,0.0002797704864802973,-1.5555245066867953,265.47467223522153,275.52139099241657,1.4386261245616554,-2.046149923354724,1096.0503323729365
2020-04-02,9.116605344102254e-05,0.027160828407448556,0.0430878398257862,0.0004542031875635401,-1.917200632672183,269.3098155448154,278.0039018947199,2.3569850385831894,1.6247031118805801,597.6754262908407
2020-04-03,9.932618952489081e-05,0.03128367643849004,0.04149533277334854,0.0004700813055957443,-1.990274617536308,270.7627953523857,280.02425665911625,1.0655915667187281,1.9196334577665195,466.34874675397685
2020-04-04,8.90198525199232e-05,0.1521190695596162,0.04293011201198745,0.000573723122778171,-1.3615759099683211,272.79681471209193,281.56153993388904,1.7714329799195718,-0.48728289510302597,398.7643743992929
2020-04-05,8.573354568102646e-05,0.012284762888533248,0.03936238616671335,0.00017843439514252451,-1.499506792146531,269.1600808252929,281.04831223957876,0.07883512402705031,-4.363091039633673,890.1474767818406
2020-04-06,9.285290907556074e-05,0.005493036449480243,0.041479492894691626,0.00044324943471707424,-1.737319219996258,268.3255030610731,280.43517025568923,0.6587806421322486,-3.8512115727279426,814.8893430780164
2020-04-07,8.43490403291833e-05,0.016038363071165913,0.042281822825169256,0.00016061082373280662,-2.055286623933227,271.53034191452116,281.6512603869795,-1.3442427666527546,-2.2858472770397187,683.0945573724958
2020-04-08,8.31539157246507e-05,0.026737011947492808,0.041830077536312876,0.0005031813432777377,-1.5159753949913153,272.3305897857421,282.2813169729569,2.513010332152035,2.1177749758170963,438.8999286361706
2020-04-09,8.285928169209722e-05,0.04117199476486511,0.041369093715871226,0.0006527943633746117,-1.5949091290230792,276.19250451301565,284.41026634281377,-0.038084040197597785,-2.4565244076513304,470.066499456057
2020-04-10,7.583859635065344e-05,0.09501051784758995,0.0422544210464441,0.0004902858483695388,-1.2252221233892304,277.28186045967914,285.78691183788186,1.9383528862257846,-0.8792716848063894,750.1766629760835
2020-04-12,8.926804758496544e-05,0.0035050256575386144,0.03936256046414018,0.00029949803409184435,-1.6991609780553627,269.48953256351115,279.8527784326007,1.2069420595649851,-2.0848667397366336,790.062076473882
2020-04-13,6.920981845691703e-05,0.02687039497942312,0.04154974324409823,0.0006191494642603535,-1.3545259523598887,272.76065151213646,282.5809006902668,1.4034172040883361,4.302802944350788,661.3473759659078
2020-04-14,6.53169996164534e-05,0.17797645295097944,0.03915974227678815,0.00020774035440239658,-1.573118432680351,276.2989155578231,284.6539373204078,0.6571358636952236,4.405997152641837,651.8758278553248
2020-04-16,7.196118757091417e-05,0.02874696592333087,0.04107500535726721,-2.3373774743711806e-05,-1.550797873225637,274.1722537117971,283.5447837546382,6.144904484209454,2.605914631552466,1117.8783667157522
2020-04-17,7.43166105984977e-05,0.036303399199291736,0.04542992746050001,-0.00023286849863435782,-1.5885562831118676,274.79278707157437,286.1875032965988,3.3343001619926933,-0.526392416455317,864.7818543353058
2020-04-18,7.961186409101522e-05,0.032743285883603854,0.045230477975679494,0.00013912425583354146,-1.6596754576453816,271.6322641355937,283.1409222837496,0.7366835438939064,-1.9828897734049544,697.5165977047477
2020-04-20,7.100610985044121e-05,0.286724813967817,0.043005934264565365,-9.807358611341794e-05,-1.4445637340637683,272.1744632921872,282.98006126388503,1.4880010084846373,-3.719609082657083,1096.8701173712025
2020-04-22,7.14697309868197e-05,0.0822491500633913,0.041617409861386345,1.0135827440714843e-05,-1.9332787742069322,272.26456197246387,282.0887530527529,2.8500235265497884,-2.690702969728331,1074.475911733887
2020-04-23,8.90847872453322e-05,0.01300201535755501,0.04267725505954012,0.00022687640523523416,-1.6678712590543208,272.88473567240277,284.3238204734082,1.2883175332533678,-1.0210760381247488,791.4509101907862
2020-04-25,7.883278101350741e-05,0.1314399027958232,0.03763937984585017,0.00024702101509482344,-1.6946377391132317,275.2026485130247,286.51623627151025,2.6080290816139398,5.171277343045807,768.2059500689253
2020-04-28,8.280257291796434e-05,0.04197130893480542,0.03753907932158547,8.076708446467196e-06,-1.7003190669664843,275.26999161038333,285.568895009397,2.2433461480371517,0.07135029711578614,796.9626053809404
2020-04-29,7.617012750084267e-05,0.014036345819085406,0.03601878211247711,0.00046992537963456765,-1.3757573353480441,275.6779108643084,286.6425515589393,1.3531567621625755,3.8045163225762866,755.5802660526597
2020-04-30,7.770124212919906e-05,0.03613995534766646,0.0359741301586581,7.331879170025987e-05,-1.720035622497419,279.0989102386789,288.17352254784794,-0.055980913436350026,3.312106299765104,510.1732112749616
2020-05-01,8.414824385962208e-05,0.08615598262367281,0.03803330438598097,8.949885474860385e-05,-1.5909935337232195,280.86873375026994,290.0161363105593,0.8158308258324543,2.3341361716303695,615.1350467587164
2020-05-02,8.285976009730381e-05,0.05280512518029065,0.03964352492516632,-1.4258764471766548e-05,-1.7919493867145004,281.0233461577581,291.00232200440774,-1.2879869716042471,1.4751566645194334,588.8689555447295
2020-05-03,0.00011322229557942375,0.07205663763640142,0.04283717525361856,5.947570763282566e-05,-2.0928659722120146,282.46119145148674,290.84269994358266,-1.3405105781220303,0.18643550756792696,470.163142357131
2020-05-04,8.832380122767824e-05,0.1961193728831177,0.038840649395516375,6.232878439669773e-05,-2.6289042095489545,285.1541560914303,289.71368065722345,-0.9473994790625688,0.87671333899736,372.7264479155645
2020-05-07,8.716171879078986e-05,0.24235651324932425,0.038112281488367684,8.771194410038743e-05,-1.9131980236090227,278.5775219472632,285.5742565142591,1.7709508216079088,1.7024089046848547,797.4545073154012
2020-05-11,8.332869742969714e-05,0.12921957066028725,0.03755970107134821,0.00038242889229586743,-1.720942803236961,281.8844560781517,290.70945720371225,3.1240788941279316,2.373871955352527,673.9920545912398
2020-05-12,7.361725721183885e-05,0.2727786111515741,0.03636320269476733,0.0006321438658687895,-1.121040335193598,281.98058804803134,290.0954291537677,-0.15650101272510292,3.5564554347291106,547.170124452934
2020-05-13,8.903711976942854e-05,0.004636680866979401,0.03727857782370108,-3.199813236865917e-05,-1.536541558197148,273.81645065003363,284.1150557142708,1.6758569081624353,-3.730095986528208,868.0898124287237
2020-05-14,8.032116129000963e-05,0.06858647426231064,0.035186790163095866,-0.00019659302007656265,-0.8557660205330914,280.42385802927964,287.9323455493852,0.047181203367119895,5.02098062847502,698.4769243939288
2020-05-15,8.055548302834629e-05,0.08430384856821675,0.03585316484633964,0.00025846792037419316,-1.2046096055659603,280.24834096691865,288.1410430523576,-0.3575628188310006,-2.718455154434732,601.9389361402341
2020-05-17,8.376933268438677e-05,0.271659143584867,0.03773968259258663,0.0005863548383539369,-1.8785321639248358,280.8233794328831,287.60345243612335,1.9403801240925809,1.1529806530024136,713.2099855995608
2020-06-02,9.813647860495911e-05,0.1665743335916869,0.03426182577038726,0.0001689121476217412,-1.8657919201285293,281.772964980329,287.8979323444314,1.4725413747021574,-0.6770678229699136,626.1846047567192
2020-06-03,0.00010087721502024886,0.24577086512063576,0.034871114630363784,9.662408389684603e-05,-1.497941934773581,283.25642686647257,289.14305022320775,0.44500807433729944,0.6280082257612625,623.094945076626
2020-06-04,9.248467018803666e-05,0.057168986584688344,0.032578684073780416,-2.1659951533585798e-05,-1.7785581525843637,283.8253106499245,289.24502826639963,1.514720071907895,3.3634559955697383,719.7774870379515
2020-06-05,8.045209662631714e-05,0.12237690430496469,0.033198541045304314,-5.508868435703279e-05,-2.368795399422959,285.1845994719235,291.04883957865974,-0.23811911292802074,5.442114019621156,665.5155323220879
2020-06-06,7.888818236485279e-05,0.08931495869566225,0.0333653497247889,3.916271737407872e-05,-1.4250753561157303,286.00292446633046,293.26925989509317,-1.2135447896091984,3.9641955762032675,490.2140407174759
2020-06-07,8.9050909543597e-05,0.00983737228730524,0.032329887781960685,7.97522130189477e-05,-1.4684228827070418,286.72834713105607,295.63477725375105,-3.478426237258213,0.35464462188661383,661.4057863808109
2020-06-08,8.58498596250875e-05,0.06797910602493322,0.031023103551321242,0.00014163588408401575,-1.3679149912957032,285.6874045933403,297.06509517098476,-4.529653716153121,0.1548649569576714,610.4512072377318
2020-06-09,9.489311526010418e-05,0.011589172196250745,0.032338040868472855,-0.00014789313974958055,-1.1796795919709093,287.9143477029181,298.2794591264077,-3.492593410291976,0.7759590075971012,448.3892174484678
